run,experiment,fitness,eval_time_ms
0,0,250.954364393594,0.3505
0,1,360.267788631164,0.3505
0,2,390.297758287082,0.3505
0,3,501.64754370488,0.3505
0,4,391.971573641221,0.3505
0,5,324.513641039324,0.3505
0,6,473.070285551552,0.3505
0,7,483.840869223983,0.3505
0,8,346.734905667271,0.3505
0,9,327.009232671916,0.3505
0,10,379.519846335565,0.3505
0,11,382.978911050709,0.3505
0,12,314.938333571253,0.3505
0,13,458.318127824254,0.3505
0,14,388.472374142642,0.3505
0,15,323.609758028256,0.3505
0,16,543.665387153126,0.3505
0,17,457.753521170458,0.3505
0,18,528.495572459948,0.3505
0,19,487.854944906684,0.3505
1,0,289.183798726862,0.3014
1,1,337.350202225217,0.3014
1,2,337.230260457333,0.3014
1,3,364.773546629751,0.3014
1,4,552.497385535521,0.3014
1,5,458.337147660039,0.3014
1,6,352.312880823175,0.3014
1,7,405.406449552233,0.3014
1,8,467.958851748714,0.3014
1,9,470.31976477259,0.3014
1,10,440.711437150299,0.3014
1,11,357.002302689295,0.3014
1,12,512.423957732277,0.3014
1,13,366.981656248988,0.3014
1,14,310.774978817471,0.3014
1,15,341.20034170745,0.3014
1,16,323.877194519616,0.3014
1,17,397.395493294432,0.3014
1,18,510.573653943367,0.3014
1,19,441.226156215903,0.3014
2,0,438.937663234045,0.3746
2,1,406.963889824573,0.3746
2,2,388.605370700763,0.3746
2,3,632.338653484226,0.3746
2,4,503.075807297937,0.3746
2,5,515.035069583782,0.3746
2,6,434.893263219347,0.3746
2,7,459.576104164085,0.3746
2,8,381.726000017433,0.3746
2,9,361.38580904277,0.3746
2,10,296.036122883245,0.3746
2,11,530.108221756153,0.3746
2,12,353.751706314793,0.3746
2,13,428.570428776013,0.3746
2,14,386.402313572089,0.3746
2,15,448.530778601284,0.3746
2,16,505.122088089829,0.3746
2,17,485.229100572171,0.3746
2,18,515.598109805862,0.3746
2,19,322.823980775229,0.3746
3,0,475.731535088572,0.4648
3,1,395.895524419208,0.4648
3,2,378.303696395715,0.4648
3,3,456.90822955284,0.4648
3,4,361.331799389731,0.4648
3,5,367.121153793902,0.4648
3,6,633.131705730822,0.4648
3,7,374.169259014421,0.4648
3,8,518.252069697081,0.4648
3,9,559.088700352969,0.4648
3,10,606.907979648804,0.4648
3,11,487.929922777389,0.4648
3,12,351.875894626352,0.4648
3,13,306.43513280559,0.4648
3,14,505.25425746477,0.4648
3,15,532.82730515721,0.4648
3,16,425.599627825859,0.4648
3,17,385.460339004394,0.4648
3,18,303.504343563766,0.4648
3,19,421.747267322997,0.4648
4,0,290.913396608732,0.4327
4,1,474.73843946552,0.4327
4,2,451.146965695731,0.4327
4,3,353.888195267368,0.4327
4,4,547.433782498539,0.4327
4,5,375.29589411091,0.4327
4,6,304.662150931279,0.4327
4,7,384.209391116184,0.4327
4,8,301.058427177463,0.4327
4,9,334.220240941262,0.4327
4,10,462.888050582053,0.4327
4,11,377.418783680721,0.4327
4,12,459.233041728236,0.4327
4,13,383.418814464774,0.4327
4,14,365.53628080656,0.4327
4,15,441.422422912422,0.4327
4,16,362.600459522755,0.4327
4,17,412.627998171311,0.4327
4,18,466.989312060196,0.4327
4,19,488.333543962293,0.4327
5,0,331.985557531812,0.3783
5,1,396.761964516894,0.3783
5,2,396.597549079959,0.3783
5,3,397.956397554866,0.3783
5,4,342.312824879268,0.3783
5,5,486.039271382242,0.3783
5,6,412.873991638367,0.3783
5,7,532.781375070765,0.3783
5,8,380.506446843964,0.3783
5,9,265.015184447258,0.3783
5,10,430.092988141251,0.3783
5,11,389.638685534792,0.3783
5,12,409.973698041752,0.3783
5,13,499.299185040777,0.3783
5,14,412.555403924914,0.3783
5,15,263.667782621049,0.3783
5,16,413.4529336953,0.3783
5,17,390.114303543562,0.3783
5,18,289.990760733438,0.3783
5,19,374.749538371366,0.3783
6,0,504.730061396735,0.5117
6,1,574.332633893147,0.5117
6,2,445.790834852282,0.5117
6,3,469.081624663084,0.5117
6,4,405.147370948587,0.5117
6,5,492.609927502035,0.5117
6,6,454.512409298602,0.5117
6,7,382.450344505037,0.5117
6,8,413.282169255568,0.5117
6,9,353.33429544097,0.5117
6,10,445.366619533472,0.5117
6,11,499.609443579915,0.5117
6,12,476.715578191093,0.5117
6,13,366.721942266061,0.5117
6,14,476.051567685157,0.5117
6,15,372.390330702259,0.5117
6,16,368.578950676752,0.5117
6,17,376.816464186387,0.5117
6,18,408.236501531325,0.5117
